"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Scenario: Verify that Product Add to Cart By Credit is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Cart Gherkin","Test Suites","",""
"","1","Scenario: Verify that Full Cycle of Product Buy in Krishop is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Full Cycle Gherkin","Test Suites","",""
"","1","Scenario: Verify that Krishop doesn't Login with Unregistered Number","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Onboard Gherkin","Test Suites","",""
"","0","Scenario: Verify that Forget Password is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Onboard Gherkin","Test Suites","",""
"","0","Scenario: Verify that Logout option is working Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Menu Gherkin","Test Suites","",""
"","63499","Scenario: Verify that Product Catagory is Successfully Displayed","","Thu Sep 04 13:56:11 BDT 2025","passed","Thu Sep 04 13:57:15 BDT 2025","Bazer Gherkin","Test Suites","",""
"","0","Scenario: Verify that Free Call option is working Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Menu Gherkin","Test Suites","",""
"","1","Scenario: Verify that Delivary Area Add & Change is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Menu Gherkin","Test Suites","",""
"","0","Scenario: Verify that Credit Product Quick Order is Successfully Working","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Bazer Gherkin","Test Suites","",""
"","0","Scenario: Verify that Privacy Policy option is working Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Menu Gherkin","Test Suites","",""
"","0","Scenario: Verify that Krishop Login is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Onboard Gherkin","Test Suites","",""
"","0","Scenario: Verify that Krishop Registration is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Onboard Gherkin","Test Suites","",""
"","1","Scenario: Verify that Product Add to Cart By Cash is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Cart Gherkin","Test Suites","",""
"","19479","Scenario: Verify that Credit Product Cart and Remove is Successfully Working","","Thu Sep 04 14:00:33 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Bazer Gherkin","Test Suites","",""
"","48784","Scenario: Verify that Regular Product Cart and Remove is Successfully Working","","Thu Sep 04 13:59:44 BDT 2025","failed","Thu Sep 04 14:00:33 BDT 2025","Bazer Gherkin","Test Suites","",""
"","0","Scenario: Verify that Profile Delete option is working Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Menu Gherkin","Test Suites","",""
"","28716","Scenario: Verify that Product Search is Successfully","","Thu Sep 04 13:55:42 BDT 2025","failed","Thu Sep 04 13:56:11 BDT 2025","Bazer Gherkin","Test Suites","",""
"","0","Scenario: Verify that Notification function is Successfully Working","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Bazer Gherkin","Test Suites","",""
"","0","Scenario: Verify that Report option is working Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Menu Gherkin","Test Suites","",""
"","0","Scenario: Verify that Call function is Successfully Working","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Bazer Gherkin","Test Suites","",""
"","0","Scenario: Verify that Remove Product in Cart is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Cart Gherkin","Test Suites","",""
"","83349","Scenario: Verify that Filter Option is Successfully Working","","Thu Sep 04 13:57:15 BDT 2025","passed","Thu Sep 04 13:58:38 BDT 2025","Bazer Gherkin","Test Suites","",""
"","0","Scenario: Verify that Payment Cancel Process is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Cart Gherkin","Test Suites","",""
"","1","Scenario: Verify that Reward option is working Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Menu Gherkin","Test Suites","",""
"","2","Scenario: Verify that Regular Product Quick Order is Successfully Working","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Bazer Gherkin","Test Suites","",""
"","1","Scenario: Verify that Profile option is working Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Menu Gherkin","Test Suites","",""
"","1","Scenario: Verify that App Introduction option is working Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Menu Gherkin","Test Suites","",""
"","65778","Scenario: Verify that Product description is Successfully Working","","Thu Sep 04 13:58:38 BDT 2025","passed","Thu Sep 04 13:59:44 BDT 2025","Bazer Gherkin","Test Suites","",""
"","1","Scenario: Verify that Delivary Area Add & Change is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Order Flow Gherkin","Test Suites","",""
"","0","Scenario: Verify that Product Checkout is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Cart Gherkin","Test Suites","",""
"","1","Scenario: Verify that Payment Confirm Process is Successfully","","Thu Sep 04 14:00:52 BDT 2025","failed","Thu Sep 04 14:00:52 BDT 2025","Cart Gherkin","Test Suites","",""
